item_id,barcode,name,pack_size,retail_price,tp_price,cost_price,quantity,rack_location,company_name,generic_name,category_name
2842,2842,OXIZIN 10MG TAB,1,9.2,8.0,8.0,0,,,,TABLET
2755,2755,OXYTOCIN INJ,1,5.29,4.6,4.6,95,,,,INJECTION
2518,2518,OYTETRACYCLINE DIHYDRATE 250MG,1,0.0,0.0,0.0,0,,,,OTHER
3115,3115,OZYMAP 20MG CAP 1X10,1,132.25,115.0,115.0,0,,,,CAPSULE
4320,4320,P-CIT 60ML SYP,1,29.9,26.0,26.0,0,,,,SYRUP
2535,2535,PAIN NIL TAB,1,63.25,55.0,55.0,0,,,,TABLET
4631,4631,PAIN TREAT INJ,1,11.5,10.0,10.0,0,,,,INJECTION
5354,5354,PAINHEAL 60GM CREAM,1,184.0,160.0,160.0,0,,,,CREAM
2048,2048,PAINTON FORT TAB,1,20.7,18.0,18.0,0,,,,TABLET
4906,4906,PAK SUNY,1,1.26,1.1,1.1,0,,,,OTHER
3298,3298,PAKCEEZONE 1GM INJ,1,55.2,48.0,48.0,0,,,,INJECTION
2735,2735,PALM SUPPORTS AR,1,69.0,60.0,60.0,0,,,,SUPPOSITORY
4553,4553,PAMZIM 40MG TAB,1,69.0,60.0,60.0,0,,,,TABLET
2964,2964,PANADOL 120ML SYP,1,144.64,125.77,125.77,29,,,,SYRUP
3917,3917,PANADOL FORT SYP,1,98.97,86.06,86.06,0,,,,SYRUP
606,606,PANASTOL C F TAB,1,0.0,0.0,0.0,0,,,,TABLET
4055,4055,PANIZOX 20MG TAB,1,87.09,75.73,75.73,0,,,,TABLET
3749,3749,PANTBERG 40MG TAB,1,57.5,50.0,50.0,0,,,,TABLET
4379,4379,PANTENE SHAMPOO,1,184.0,160.0,160.0,6,,,,INJECTION
5206,5206,PARA 100ML INFUSION,1,92.0,80.0,80.0,0,,,,INJECTION
4703,4703,PARA TULLE,1,207.0,180.0,180.0,0,,,,OTHER
3679,3679,PARACARE 60ML SYP,1,25.3,22.0,22.0,0,,,,SYRUP
3565,3565,PARACET 100ML INF,1,97.75,85.0,85.0,0,,,,OTHER
4742,4742,PARACETAMOL INFUSION 100ML,1,97.75,85.0,85.0,0,,,,INJECTION
2131,2131,PARACETAMOL TAB MUNAWAR,1,19.55,17.0,17.0,0,,,,TABLET
2859,2859,PARAMOUNT 10CC SYRINGE,1,8.91,7.75,7.75,0,,,,OTHER
4147,4147,PARAPALS 100ML INF,1,101.2,88.0,88.0,0,,,,OTHER
4636,4636,PD RAN SACHET,1,11.04,9.6,9.6,0,,,,SACHET
3130,3130,PD VIT 120ML SYP,1,32.2,28.0,28.0,0,,,,SYRUP
3754,3754,PDCID 120ML SYP,1,23.0,20.0,20.0,0,,,,SYRUP
2937,2937,PDCRAN PDH SACHETS,1,63.25,55.0,55.0,0,,,,SACHET
3884,3884,PEADIFEST 500ML ORS,1,50.6,44.0,44.0,0,,,,OTHER
3514,3514,PEDRITOL ORS,1,138.0,120.0,120.0,0,,,,OTHER
4837,4837,PEDS CREAM,1,208.84,181.6,181.6,0,,,,CREAM
4359,4359,PELTON  TAB,1,84.78,73.72,73.72,0,,,,TABLET
2643,2643,PELTON 120ML SYP,1,177.35,154.22,154.22,0,,,,SYRUP
2639,2639,PELTON V 120ML SYP,1,184.89,160.77,160.77,34,,,,SYRUP
4358,4358,PELTON V TAB,1,102.5,89.13,89.13,0,,,,TABLET
